1,"1","Aceh"
2,"1","Sumatera Utara"
3,"1","Sumatera Barat"
4,"1","Riau"
5,"1","Jambi"
6,"1","Sumatera Selatan"
7,"1","Bengkulu"
8,"1","Lampung"
9,"2","Kep. Bangka Belitung"
10,"11","Kep. Riau"
11,"4","DKI Jakarta"
12,"4","Jawa Barat"
13,"4","Jawa Tengah"
14,"4","Banten"
15,"4","Jawa Timur"
16,"4","Yogyakarta"
17,"7","Bali"
18,"8","Nusa Tenggara Barat"
19,"9","Nusa Tenggara Timur"
20,"5","Kalimantan Barat"
21,"5","Kalimantan Tengah"
22,"5","Kalimantan Selatan"
23,"5","Kalimantan Timur"
24,"5","Kalimantan Utara"
25,"6","Sulawesi Utara"
26,"6","Sulawesi Tengah"
27,"6","Sulawesi Selatan"
28,"6","Sulawesi Tenggara"
29,"6","Gorontalo"
30,"6","Sulawesi Barat"
31,"10","Maluku"
32,"10","Maluku Utara"
33,"10","Papua"
34,"10","Papua Barat"
